dt_code,dtname,stname,st_code,year,Zone,,,
92,North East Delhi,DELHI,7,2011_c,Red Zone,,,Bagalkote
90,North West Delhi,DELHI,7,2011_c,Red Zone,,,Chikkaballapura
702,Shahdara,DELHI,7,update2014,Red Zone,,,Bidar
98,South Delhi,DELHI,7,2011_c,Red Zone,,,Dakshina Kannada
703,South East Delhi,DELHI,7,update2014,Red Zone,,,Mandya
97,South West Delhi,DELHI,7,2011_c,Red Zone,,,Ballari
96,West Delhi,DELHI,7,2011_c,Red Zone,,,Uttara Kannada
585,North Goa,GOA,30,2011_c,Green Zone,,,Dharwad
586,South Goa,GOA,30,2011_c,Green Zone,,,Gadag
474,Ahmadabad,GUJARAT,24,2011_c,Red Zone,,,Udupi
480,Amreli,GUJARAT,24,2011_c,Green Zone,,,Bengaluru Rural
482,Anand,GUJARAT,24,2011_c,Red Zone,,,Tumakuru
725,Aravalli,GUJARAT,24,update2014,Red Zone,,,Davanagere
469,Banas Kantha,GUJARAT,24,2011_c,Red Zone,,,Chitradurga
488,Bharuch,GUJARAT,24,2011_c,Orange Zone,,,Kodagu
481,Bhavnagar,GUJARAT,24,2011_c,Red Zone,,,Kasaragod
726,Botad,GUJARAT,24,update2014,Orange Zone,,,Kannur
726,Botad,GUJARAT,24,update2014,Orange Zone,,,Ernakulam
731,Chota Udaipur,GUJARAT,24,update2014,Orange Zone,,,Kozhikode
728,Devbhumi Dwarka,GUJARAT,24,update2014,Green Zone,,,Malappuram
485,Dohad,GUJARAT,24,2011_c,Orange Zone,,,Pathanamthitta
473,Gandhinagar,GUJARAT,24,2011_c,Red Zone,,,Thiruvananthapuram
729,Gir Somnath,GUJARAT,24,update2014,Orange Zone,,,Idukki
477,Jamnagar,GUJARAT,24,2011_c,Orange Zone,,,Thrissur
479,Junagadh,GUJARAT,24,2011_c,Green Zone,,,Palakkad
468,Kachchh,GUJARAT,24,2011_c,Orange Zone,,,Kollam
483,Kheda,GUJARAT,24,2011_c,Orange Zone,,,Kottayam
471,Mahesana,GUJARAT,24,2011_c,Orange Zone,,,Alappuzha
730,Mahisagar,GUJARAT,24,update2014,Oranse Zone,,,Wayanad
727,Morbi,GUJARAT,24,update2014,Green Zone,,,Leh
487,Narmada,GUJARAT,24,2011_c,Orange Zone,,,Kargil
490,Navsari,GUJARAT,24,2011_c,Orange Zone,,,Indore
484,Panch Mahals,GUJARAT,24,2011_c,Red Zone,,,Bhopal
470,Patan,GUJARAT,24,2011_c,Orange Zone,,,Ujjain
478,Porbandar,GUJARAT,24,2011_c,Green Zone,,,West Nimar
476,Rajkot,GUJARAT,24,2011_c,Orange Zone,,,Dhar
472,Sabar Kantha,GUJARAT,24,2011_c,Orange Zone,,,East Nimar
492,Surat,GUJARAT,24,2011_c,Red Zone,,,Jabalpur
475,Surendranagar,GUJARAT,24,2011_c,Orange Zone,,,Hoshangabad
493,Tapi,GUJARAT,24,2011_c,Oranse Zone,,,Raisen
489,The Dangs,GUJARAT,24,2011_c,Orange Zone,,,Barwani
486,Vadodara,GUJARAT,24,2011_c,Red Zone,,,Dewas
491,Valsad,GUJARAT,24,2011_c,Orange Zone,,,Morena
70,Ambala,HARYANA,6,2011_c,Orange Zone,,,Vidisha
81,Bhiwani,HARYANA,6,2011_c,Orange Zone,,,Ratlam
765,Charki Dadri,HARYANA,6,2016_c,Orange Zone,,,Agar Malwa
88,Faridabad,HARYANA,6,2011_c,Red Zone,,,Mandsaur
78,Fatehabad,HARYANA,6,2011_c,Orange Zone,,,Shajapur
86,Gurugram,HARYANA,6,2011_c,Orange Zone,,,Sagar
80,Hisar,HARYANA,6,2011_c,Orange Zone,,,Chhindwara
83,Jhajjar,HARYANA,6,2011_c,Orange Zone,,,Gwalior
77,Jind,HARYANA,6,2011_c,Orange Zone,,,Sheopur
73,Kaithal,HARYANA,6,2011_c,Orange Zone,,,Alirajpur
74,Karnal,HARYANA,6,2011_c,Orange Zone,,,Shivpuri
72,Kurukshetra,HARYANA,6,2011_c,Orange Zone,,,Tikamgarh
84,Mahendragarh,HARYANA,6,2011_c,Green Zone,,,Betul
87,Nuh,HARYANA,6,2011_c,Orange Zone,,,Burhanpur
89,Palwal,HARYANA,6,2011_c,Orange Zone,,,Dindori
69,Panchkula,HARYANA,6,2011_c,Orange Zone,,,Mumbai
75,Panipat,HARYANA,6,2011_c,Orange Zone,,,Pune
85,Rewari,HARYANA,6,2011_c,Green Zone,,,Thane
82,Rohtak,HARYANA,6,2011_c,Orange Zone,,,Palghar
79,Sirsa,HARYANA,6,2011_c,Orange Zone,,,Nashik
76,Sonipat,HARYANA,6,2011_c,Red Zone,,,Mumbai Suburban
71,Yamunanagar,HARYANA,6,2011_c,Orange Zone,,,Nagpur
30,Bilaspur,HIMACHAL PRADESH,2,2011_c,Green Zone,,,Raigarh
23,Chamba,HIMACHAL PRADESH,2,2011_c,Oranse Zone,,,Aurangabad
28,Hamirpur,HIMACHAL PRADESH,2,2011_c,Orange Zone,,,Solapur
24,Kangra,HIMACHAL PRADESH,2,2011_c,Orange Zone,,,Ahmadnagar
34,Kinnaur,HIMACHAL PRADESH,2,2011_c,Green Zone,,,Sangli
